state,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors,Year
Telangana,Adilabad,Godam Nagesh,M,49,ST,TRS,Car,425762,5085,430847,1386282,2014
Telangana,Adilabad,Naresh,M,37,ST,INC,Hand,257994,1563,259557,1386282,2014
Telangana,Adilabad,Ramesh Rathod,M,48,ST,TDP,Bicycle,182879,1319,184198,1386282,2014
Telangana,Adilabad,Rathod Sadashiv,M,55,ST,BSP,Elephant,94363,57,94420,1386282,2014
Telangana,Adilabad,Nethawath Ramdas,M,44,ST,IND,Auto-Rickshaw,41028,4,41032,1386282,2014
Telangana,Adilabad,Pawar Krishna,M,33,ST,IND,Bat,5051,4,5055,1386282,2014
Telangana,Adilabad,Banka Sahadev,M,53,ST,IND,Gas Cylinder,4780,7,4787,1386282,2014
Telangana,Adilabad,Mosali Chinnaiah,M,40,ST,IND,Almirah,8842,17,8859,1386282,2014
Telangana,Adilabad,NOTA,,,,NOTA,NOTA,17021,63,17084,1386282,2014
Telangana,Peddapalle,Dr. Janapati Sarat Babu,M,42,SC,TDP,Bicycle,63174,160,63334,1425355,2014
Telangana,Peddapalle,Tagaram Shankar Lal,M,37,SC,BSP,Elephant,9430,19,9449,1425355,2014
Telangana,Peddapalle,Balka Suman,M,31,SC,TRS,Car,563214,2282,565496,1425355,2014
Telangana,Peddapalle,G. Vivekanand,M,56,SC,INC,Hand,273441,897,274338,1425355,2014
Telangana,Peddapalle,Kalvala Shankar,M,44,SC,PPOI,Television,9288,2,9290,1425355,2014
Telangana,Peddapalle,Kalvala Sanjeev,M,37,SC,RPI,Sewing Machine,8609,0,8609,1425355,2014
Telangana,Peddapalle,Botha Venkata Mallaiah,M,58,SC,BCUF,Chappals,2245,0,2245,1425355,2014
Telangana,Peddapalle,J. V. Raju,M,50,SC,NIP,Cup & Saucer,3020,0,3020,1425355,2014
Telangana,Peddapalle,Venkata Swamy Injam,M,42,SC,MASP,Ring,3861,5,3866,1425355,2014
Telangana,Peddapalle,Velthuru Mallaiah,M,57,SC,RP(K),Auto-Rickshaw,45976,1,45977,1425355,2014
Telangana,Peddapalle,Kamilla Jaya Rao,M,43,SC,IND,Scissors,2741,1,2742,1425355,2014
Telangana,Peddapalle,Gaddala Vinay Kumar,M,65,SC,IND,Ceiling Fan,3263,3,3266,1425355,2014
Telangana,Peddapalle,Gorre Ramesh,M,43,SC,IND,Gas Cylinder,2359,2,2361,1425355,2014
Telangana,Peddapalle,Jinna Ramadevi,F,37,SC,IND,Battery Torch,9199,0,9199,1425355,2014
Telangana,Peddapalle,Thallapalli Srinivas,M,35,SC,IND,Candles,3698,1,3699,1425355,2014
Telangana,Peddapalle,Bupelli Narayana,M,30,SC,IND,Bat,7255,3,7258,1425355,2014
Telangana,Peddapalle,Moutam Ravinder,M,33,SC,IND,Almirah,2671,3,2674,1425355,2014
Telangana,Peddapalle,NOTA,,,,NOTA,NOTA,5344,17,5361,1425355,2014
Telangana,Karimnagar,Chennamaneni Vidya Sagar Rao,M,73,General,BJP,Lotus,213836,992,214828,1550810,2014
Telangana,Karimnagar,Ponnam Prabhakar,M,47,General,INC,Hand,298386,2320,300706,1550810,2014
Telangana,Karimnagar,Burla Ravi,M,42,General,NCP,Clock,4768,1,4769,1550810,2014
Telangana,Karimnagar,B. Laxman,M,53,SC,BSP,Elephant,11289,39,11328,1550810,2014
Telangana,Karimnagar,Vinod Kumar Boinapally,M,54,General,TRS,Car,503197,2161,505358,1550810,2014
Telangana,Karimnagar,Dr. Dharmaiah Vendavetla,M,61,SC,BMUP,Cot,3771,1,3772,1550810,2014
Telangana,Karimnagar,L. Prabhakar Reddy,M,48,General,PPOI,Television,3942,1,3943,1550810,2014
Telangana,Karimnagar,Meesala Raji Reddy,M,44,General,YSRCP,Ceiling Fan,3071,4,3075,1550810,2014
Telangana,Karimnagar,Ranaveni Lakshman,M,41,General,NIP,Cup & Saucer,2061,1,2062,1550810,2014
Telangana,Karimnagar,Reddi Malla Srinivas,M,46,SC,RPI(A),Sewing Machine,8033,1,8034,1550810,2014
Telangana,Karimnagar,Shaik Mahmood,M,58,General,WPOI,Auto-Rickshaw,39300,8,39308,1550810,2014
Telangana,Karimnagar,Uppuleti Laxman,M,49,SC,IND,Bat,2445,0,2445,1550810,2014
Telangana,Karimnagar,Kandem Prabhakar,M,45,General,IND,Gas Stove,4727,1,4728,1550810,2014
Telangana,Karimnagar,Pulikota Ramesh,M,34,SC,IND,Battery Torch,1772,1,1773,1550810,2014
